State_proved,Mean_time,Mean_profit
"[65, 5]",0.3927661180496216,78.25
"[65, 6]",0.3447866439819336,78.5
"[65, 7]",0.29346656799316406,81.25
"[65, 8]",0.25404196977615356,79.5
"[65, 9]",0.2238127589225769,79.25
"[65, 10]",0.20860135555267334,75.25
"[70, 1]",2.052037239074707,83.25
"[70, 2]",1.1127716302871704,83.0
"[70, 3]",0.6899929046630859,81.0
"[70, 4]",0.5236934423446655,82.0
"[70, 5]",0.4132152795791626,77.5
"[70, 6]",0.3305166959762573,78.0
"[70, 7]",0.29900503158569336,82.0
"[70, 8]",0.25448113679885864,79.0
"[70, 9]",0.2172223925590515,81.0
"[70, 10]",0.1964680552482605,77.5
"[75, 1]",2.051639139652252,82.75
"[75, 2]",1.002606213092804,83.0
"[75, 3]",0.648497462272644,81.75
"[75, 4]",0.5002128481864929,80.5
"[75, 5]",0.3985127806663513,81.25
"[75, 6]",0.32965564727783203,82.5
"[75, 7]",0.2851160764694214,81.75
"[75, 8]",0.24989289045333862,80.0
"[75, 9]",0.21773386001586914,81.25
"[75, 10]",0.19680583477020264,72.0
"[80, 1]",1.9929459691047668,83.25
"[80, 2]",1.0042883157730103,81.0
"[80, 3]",0.6503697633743286,83.25
"[80, 4]",0.4876551628112793,82.0
"[80, 5]",0.391038715839386,79.75
"[80, 6]",0.327938973903656,81.0
"[80, 7]",0.28341144323349,81.25
"[80, 8]",0.24322915077209473,82.25
"[80, 9]",0.2130444049835205,78.5
"[80, 10]",0.1960471272468567,80.25
"[85, 1]",2.0147528052330017,83.25
"[85, 2]",1.0508361458778381,81.75
"[85, 3]",0.7005898952484131,82.0
"[85, 4]",0.4893335700035095,83.0
"[85, 5]",0.39076024293899536,81.25
"[85, 6]",0.3334720730781555,83.25
"[85, 7]",0.29260706901550293,80.25
"[85, 8]",0.2448914647102356,82.0
"[85, 9]",0.22434037923812866,80.75
"[85, 10]",0.2329375147819519,76.5
"[90, 1]",2.162895679473877,83.25
"[90, 2]",1.111351191997528,82.75
"[90, 3]",0.6880238652229309,82.25
"[90, 4]",0.5088707208633423,82.75
"[90, 5]",0.4051250219345093,80.75
"[90, 6]",0.35633885860443115,79.75
"[90, 7]",0.29296988248825073,79.75
"[90, 8]",0.2731488347053528,81.75
"[90, 9]",0.23160320520401,82.25
"[90, 10]",0.2083931565284729,82.25
"[95, 1]",2.105972409248352,83.0
"[95, 2]",1.0301519632339478,82.0
"[95, 3]",0.688218355178833,80.0
"[95, 4]",0.5096975564956665,78.75
"[95, 5]",0.41403883695602417,81.5
"[95, 6]",0.345769464969635,83.25
"[95, 7]",0.2961314916610718,76.75
