State_proved,Mean_time,Mean_profit
"[30, 8000, 500]",1.3919670581817627,95.0
"[30, 8000, 750]",2.0893813371658325,95.0
"[30, 9000, 0]",0.003167867660522461,92.0
"[30, 9000, 250]",0.6823424100875854,93.5
"[30, 9000, 500]",1.3628277778625488,95.0
"[30, 9000, 750]",2.1112247705459595,95.0
"[30, 10000, 0]",0.0030117034912109375,92.0
"[30, 10000, 250]",0.6876868009567261,95.0
"[30, 10000, 500]",1.396354079246521,95.0
"[30, 10000, 750]",2.111583113670349,95.0
"[40, 0, 0]",0.0030128955841064453,92.0
"[40, 0, 250]",0.6909583806991577,33.5
"[40, 0, 500]",1.411252498626709,31.0
"[40, 0, 750]",2.1231762170791626,15.5
"[40, 1000, 0]",0.002779722213745117,92.0
"[40, 1000, 250]",0.6825459003448486,93.5
"[40, 1000, 500]",1.3962737321853638,92.5
"[40, 1000, 750]",2.1255956888198853,95.0
"[40, 2000, 0]",0.0029926300048828125,92.0
"[40, 2000, 250]",0.6653661727905273,93.0
"[40, 2000, 500]",1.4003174304962158,94.0
"[40, 2000, 750]",2.139044165611267,95.0
"[40, 3000, 0]",0.0032875537872314453,92.0
"[40, 3000, 250]",0.6687077283859253,93.5
"[40, 3000, 500]",1.3884994983673096,95.0
"[40, 3000, 750]",2.0959888696670532,94.0
"[40, 4000, 0]",0.0033048391342163086,92.0
"[40, 4000, 250]",0.6899759769439697,94.0
"[40, 4000, 500]",1.3946746587753296,93.5
"[40, 4000, 750]",2.0886199474334717,95.0
"[40, 5000, 0]",0.003516674041748047,92.0
"[40, 5000, 250]",0.6948608160018921,92.5
"[40, 5000, 500]",1.400864839553833,95.0
"[40, 5000, 750]",2.0870152711868286,94.0
"[40, 6000, 0]",0.0033072233200073242,92.0
"[40, 6000, 250]",0.6764785051345825,92.0
"[40, 6000, 500]",1.3753259181976318,95.0
"[40, 6000, 750]",2.120400309562683,95.0
"[40, 7000, 0]",0.0027620792388916016,92.0
"[40, 7000, 250]",0.6909781694412231,95.0
"[40, 7000, 500]",1.3792515993118286,93.5
"[40, 7000, 750]",2.13365375995636,95.0
"[40, 8000, 0]",0.00324404239654541,92.0
"[40, 8000, 250]",0.6727690696716309,93.5
"[40, 8000, 500]",1.419858694076538,95.0
"[40, 8000, 750]",2.1258143186569214,95.0
"[40, 9000, 0]",0.00290524959564209,92.0
"[40, 9000, 250]",0.6989096403121948,93.5
"[40, 9000, 500]",1.3794978857040405,95.0
"[40, 9000, 750]",2.094282388687134,94.0
"[40, 10000, 0]",0.0030096769332885742,92.0
"[40, 10000, 250]",0.6718274354934692,93.5
"[40, 10000, 500]",1.3843308687210083,95.0
"[40, 10000, 750]",2.128379702568054,95.0
"[50, 0, 0]",0.0034258365631103516,92.0
"[50, 0, 250]",0.6760468482971191,22.5
"[50, 0, 500]",1.4128551483154297,21.5
"[50, 0, 750]",2.1276744604110718,47.0
"[50, 1000, 0]",0.003245830535888672,92.0
"[50, 1000, 250]",0.6935629844665527,93.5
"[50, 1000, 500]",1.3755689859390259,93.5
"[50, 1000, 750]",2.1090099811553955,95.0
"[50, 2000, 0]",0.0032476186752319336,92.0
"[50, 2000, 250]",0.6827685832977295,92.0
"[50, 2000, 500]",1.3896416425704956,95.0
"[50, 2000, 750]",2.116891026496887,95.0
"[50, 3000, 0]",0.0032753944396972656,92.0
"[50, 3000, 250]",0.6888911724090576,90.5
"[50, 3000, 500]",1.3911858797073364,94.0
"[50, 3000, 750]",2.159405469894409,95.0
"[50, 4000, 0]",0.003271937370300293,92.0
"[50, 4000, 250]",0.6989980936050415,93.0
"[50, 4000, 500]",1.3813248872756958,95.0
"[50, 4000, 750]",2.269827127456665,95.0
"[50, 5000, 0]",0.0030089616775512695,92.0
"[50, 5000, 250]",0.6789716482162476,94.0
